"start","end","path2","barrier.id","pathway.pass","start.section.length","finish.section.length"
"d_s","d_s","d_s","NA",1,32846.4953697198,32846.4953697198
"d_s","m_s","d_s,m_s","m",1,32846.4953697198,7233.5305071638
"d_s","l_s","d_s,m_s,l_s","m,l",0,32846.4953697198,1377.61161686846
"d_s","sink","d_s,sink","d",1,32846.4953697198,17289.5000452673
"m_s","d_s","m_s,d_s","m",1,7233.5305071638,32846.4953697198
"m_s","m_s","m_s","NA",1,7233.5305071638,7233.5305071638
"m_s","l_s","m_s,l_s","l",0,7233.5305071638,1377.61161686846
"m_s","sink","m_s,d_s,sink","m,d",1,7233.5305071638,17289.5000452673
"l_s","d_s","l_s,m_s,d_s","l,m",0,1377.61161686846,32846.4953697198
"l_s","m_s","l_s,m_s","l",0,1377.61161686846,7233.5305071638
"l_s","l_s","l_s","NA",1,1377.61161686846,1377.61161686846
"l_s","sink","l_s,m_s,d_s,sink","l,m,d",0,1377.61161686846,17289.5000452673
"sink","d_s","sink,d_s","d",1,17289.5000452673,32846.4953697198
"sink","m_s","sink,d_s,m_s","d,m",1,17289.5000452673,7233.5305071638
"sink","l_s","sink,d_s,m_s,l_s","d,m,l",0,17289.5000452673,1377.61161686846
"sink","sink","sink","NA",1,17289.5000452673,17289.5000452673
